order_id,user_id,status,created_at,returned_at,shipped_at,delivered_at,num_of_item
8,5,Cancelled,2022-10-20 10:03:00+00:00,,,,3
60,44,Cancelled,2023-01-20 02:12:00+00:00,,,,1
64,46,Cancelled,2021-12-06 09:11:00+00:00,,,,1
89,65,Cancelled,2020-08-13 09:58:00+00:00,,,,1
102,76,Cancelled,2023-01-17 08:17:00+00:00,,,,2
117,89,Cancelled,2023-07-31 13:25:00+00:00,,,,1
143,118,Cancelled,2020-04-21 02:59:00+00:00,,,,1
153,124,Cancelled,2022-07-10 16:42:00+00:00,,,,2
182,147,Cancelled,2024-01-15 10:29:28.317841+00:00,,,,3
183,148,Cancelled,2023-07-04 09:25:00+00:00,,,,1
185,149,Cancelled,2021-08-30 10:43:00+00:00,,,,2
192,158,Cancelled,2021-02-22 11:12:00+00:00,,,,1
194,158,Cancelled,2022-01-06 11:12:00+00:00,,,,2
220,175,Cancelled,2023-06-25 06:27:00+00:00,,,,1
239,197,Cancelled,2023-11-06 16:21:00+00:00,,,,1
248,207,Cancelled,2024-01-12 06:10:00+00:00,,,,2
251,209,Cancelled,2020-10-06 15:56:00+00:00,,,,2
273,225,Cancelled,2024-01-14 10:29:00+00:00,,,,1
276,226,Cancelled,2023-10-01 07:30:00+00:00,,,,1
280,228,Cancelled,2022-04-19 06:18:00+00:00,,,,2
300,250,Cancelled,2023-10-19 01:18:00+00:00,,,,2
304,256,Cancelled,2022-10-15 11:47:00+00:00,,,,1
305,256,Cancelled,2022-01-05 11:47:00+00:00,,,,1
324,271,Cancelled,2023-05-12 01:23:00+00:00,,,,1
325,272,Cancelled,2021-08-01 14:00:00+00:00,,,,3
336,283,Cancelled,2023-07-13 17:39:00+00:00,,,,2
345,288,Cancelled,2023-03-02 12:10:00+00:00,,,,2
350,294,Cancelled,2023-12-07 12:18:00+00:00,,,,1
352,297,Cancelled,2021-01-02 06:23:00+00:00,,,,1
357,300,Cancelled,2023-04-26 06:46:00+00:00,,,,1
365,308,Cancelled,2023-10-20 15:00:00+00:00,,,,2
380,317,Cancelled,2022-12-15 02:47:00+00:00,,,,2
425,352,Cancelled,2022-06-05 00:31:00+00:00,,,,2
429,355,Cancelled,2023-12-26 13:04:00+00:00,,,,1
449,370,Cancelled,2023-05-27 14:54:00+00:00,,,,1
454,374,Cancelled,2023-01-14 08:30:00+00:00,,,,2
462,382,Cancelled,2021-12-24 14:13:00+00:00,,,,4
497,408,Cancelled,2023-03-05 12:35:00+00:00,,,,2
499,411,Cancelled,2022-12-15 01:35:00+00:00,,,,1
510,418,Cancelled,2023-05-21 05:45:00+00:00,,,,1
511,418,Cancelled,2023-10-07 05:45:00+00:00,,,,3
533,439,Cancelled,2023-01-10 00:17:00+00:00,,,,1
537,442,Cancelled,2022-01-08 11:52:00+00:00,,,,1
543,444,Cancelled,2022-06-19 02:31:00+00:00,,,,2
576,466,Cancelled,2021-06-12 03:06:00+00:00,,,,1
579,468,Cancelled,2023-09-26 14:08:00+00:00,,,,2
591,475,Cancelled,2022-06-30 10:15:00+00:00,,,,1
619,503,Cancelled,2023-08-31 00:41:00+00:00,,,,4
670,534,Cancelled,2021-05-13 15:38:00+00:00,,,,3
691,552,Cancelled,2023-11-01 12:33:00+00:00,,,,1
714,568,Cancelled,2023-03-22 16:33:00+00:00,,,,1
724,577,Cancelled,2024-01-13 09:29:00+00:00,,,,1
731,582,Cancelled,2024-01-13 09:44:00+00:00,,,,1
732,583,Cancelled,2020-02-26 03:02:00+00:00,,,,2
748,597,Cancelled,2020-06-13 01:41:00+00:00,,,,1
758,604,Cancelled,2021-07-10 01:26:00+00:00,,,,1
762,608,Cancelled,2022-02-17 17:36:00+00:00,,,,1
763,609,Cancelled,2022-10-29 02:00:00+00:00,,,,1
779,622,Cancelled,2023-08-31 08:08:00+00:00,,,,1
781,624,Cancelled,2023-04-28 03:43:00+00:00,,,,1
806,646,Cancelled,2023-05-17 16:47:00+00:00,,,,2
809,647,Cancelled,2022-09-25 04:31:00+00:00,,,,4
816,655,Cancelled,2024-01-08 11:47:00+00:00,,,,1
838,670,Cancelled,2023-12-06 17:11:00+00:00,,,,4
853,684,Cancelled,2023-12-22 06:31:00+00:00,,,,1
863,691,Cancelled,2023-03-04 05:32:00+00:00,,,,1
873,700,Cancelled,2020-02-27 05:17:00+00:00,,,,2
885,711,Cancelled,2021-10-28 03:06:00+00:00,,,,1
899,724,Cancelled,2024-01-10 04:26:00+00:00,,,,2
903,727,Cancelled,2023-04-02 17:13:00+00:00,,,,1
913,734,Cancelled,2023-08-24 16:21:00+00:00,,,,1
914,734,Cancelled,2021-05-02 16:21:00+00:00,,,,1
919,737,Cancelled,2023-04-04 00:22:00+00:00,,,,1
938,754,Cancelled,2022-06-07 01:07:00+00:00,,,,1
956,767,Cancelled,2023-01-21 16:07:00+00:00,,,,4
973,783,Cancelled,2022-12-27 13:57:00+00:00,,,,1
995,803,Cancelled,2021-01-04 18:39:00+00:00,,,,1
1017,822,Cancelled,2020-07-15 08:00:00+00:00,,,,1
1037,837,Cancelled,2024-01-14 17:11:00+00:00,,,,2
1051,847,Cancelled,2023-04-25 14:34:00+00:00,,,,1
1066,855,Cancelled,2023-12-12 06:56:00+00:00,,,,1
1068,857,Cancelled,2021-06-25 17:27:00+00:00,,,,2
1077,865,Cancelled,2023-11-14 11:57:00+00:00,,,,3
1078,865,Cancelled,2022-12-23 11:57:00+00:00,,,,1
1087,873,Cancelled,2023-01-19 17:23:00+00:00,,,,4
1089,874,Cancelled,2023-07-27 15:39:00+00:00,,,,1
1100,881,Cancelled,2020-02-06 15:02:00+00:00,,,,1
1110,887,Cancelled,2020-08-04 02:57:00+00:00,,,,1
1120,896,Cancelled,2021-09-21 10:46:00+00:00,,,,1
1137,908,Cancelled,2024-01-15 08:47:54.790130+00:00,,,,1
1142,915,Cancelled,2023-06-08 04:28:00+00:00,,,,1
1144,917,Cancelled,2023-04-19 00:04:00+00:00,,,,3
1152,922,Cancelled,2023-05-24 01:23:00+00:00,,,,3
1171,936,Cancelled,2022-11-29 02:33:00+00:00,,,,4
1176,940,Cancelled,2023-02-14 16:06:00+00:00,,,,1
1224,984,Cancelled,2024-01-12 12:20:00+00:00,,,,2
1229,989,Cancelled,2023-12-21 13:49:00+00:00,,,,1
1242,998,Cancelled,2023-11-23 09:06:00+00:00,,,,1
1262,1009,Cancelled,2023-12-06 04:53:00+00:00,,,,4
1269,1012,Cancelled,2023-02-12 06:19:00+00:00,,,,4
1296,1032,Cancelled,2023-11-22 04:21:00+00:00,,,,1
1320,1048,Cancelled,2021-03-20 06:57:00+00:00,,,,1
1329,1056,Cancelled,2021-01-21 18:28:00+00:00,,,,1
1355,1080,Cancelled,2022-11-18 15:07:00+00:00,,,,2
1358,1084,Cancelled,2022-09-20 03:47:00+00:00,,,,3
1369,1097,Cancelled,2023-10-26 13:47:00+00:00,,,,1
1374,1101,Cancelled,2022-04-06 01:04:00+00:00,,,,2
1379,1104,Cancelled,2020-07-29 04:40:00+00:00,,,,2
